,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dran Sword,BX-01/22☆,,Dran Sword,BX-07,,Dran Sword,BX-14☆,,Dran Sword ,BX-17☆,,Dran Sword ,BX-00,,Dran Sword,BX-00,,Dran Sword,UX-00,,Dran Sword,BX-00,,Dran Sword,BX-00,,Dran Sword,BX-00
,,Cobalt Dragoon,BX-34☆,,Cobalt Dragoon,CX-08,,Cobalt Dragoon,BX-00,,Cobalt Dragoon,BX-00,,,,,,,,,,,,,,,,,,
0/4,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Black Shell,BX-35☆,,Black Shell,BX-35,,Black Shell,CX-08,,,,,,,,,,,,,,,,,,,,,
0/3,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Whale Wave,BX-36☆,,Whale Wave,BX-36,,Whale Wave,BX-36,,Whale Wave,CX-05,,Whale Wave,BX-00,,,,,,,,,,,,,,,
0/5,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bear Scratch,BX-37,,,,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Crimson Garuda,BX-38☆,,,,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ptera Swing,UX-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shelter Drake,BX-39,,Shelter Drake,BX-39,,Shelter Drake,BX-39,,,,,,,,,,,,,,,,,,,,,
0/3,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tricera Press,BX-44,,,,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Samurai Calibur,BX-45,,,,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tyrano Roar,UX-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Goat Tackle,BX-46,,,,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gill Shark,CX-11,,,,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cobalt Drake (Red),BX-46,,Cobalt Drake,BX-00,,Cobalt Drake (Clear),BX-00,,,,,,,,,,,,,,,,,,,,,
0/3,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoenix Feather,BX-00,,Phoenix Feather,UX-12,,Phoenix Feather,BX-00,,,,,,,,,,,,,,,,,,,,,
0/3,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shinobi Knife,BX-00,,,,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mammoth Tusk,BX-00,,,,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Croc Crunch,BX-00,,,,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Samurai Steel,BX-00,,,,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Orochi Cluster,BX-00,,,,,,,,,,,,,,,,,,,,,,,,,,,
0/1,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Count,,,☆ = Hasbro Release Available,,,,,,,,,,,,,,,,,,,,,,,,,
,,0/108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
